Subject,Session,Condition,Mean_Amplitude,SD_Amplitude,Num_Epochs
sub-13,ses-02,Control,-1.5549231410620368e-06,4.290700778647735e-06,20
sub-13,ses-02,Noise,4.5466149635891496e-07,3.818697554641774e-06,20
sub-13,ses-02,Speech,6.187944769522032e-07,5.171273319890329e-06,20
sub-16,ses-01,Control,8.733667333936936e-07,3.213298335845645e-06,20
sub-16,ses-01,Noise,5.369432402820467e-07,3.6372564050693585e-06,20
sub-16,ses-01,Speech,2.1793671666856634e-06,2.953037071517554e-06,20
sub-16,ses-02,Control,6.810298355488862e-07,1.7274464040678166e-06,20
sub-16,ses-02,Noise,6.696580224191165e-07,2.0522796321271854e-06,20
sub-16,ses-02,Speech,6.699447094421204e-07,2.0513736503075986e-06,20
sub-17,ses-01,Control,-7.983922857653882e-08,1.8848403273923766e-06,20
sub-17,ses-01,Noise,5.138372629795622e-08,1.9941891356621735e-06,20
sub-17,ses-01,Speech,4.3323672111340156e-07,1.6584559566902454e-06,20
sub-17,ses-02,Control,-9.989652191497224e-07,2.737609170871142e-06,20
sub-17,ses-02,Noise,-7.97555295651161e-07,3.214300982097888e-06,20
sub-17,ses-02,Speech,1.0837302295365795e-06,3.2255643465892822e-06,20
sub-19,ses-01,Control,1.8585840047892904e-07,1.938769921984538e-06,20
sub-19,ses-01,Noise,3.204373234411223e-07,2.0476357822394893e-06,20
sub-19,ses-01,Speech,4.3665317986846566e-07,2.8887962927423726e-06,20
sub-19,ses-02,Control,7.867832124965156e-07,2.8122609933927374e-06,20
sub-19,ses-02,Noise,3.5629055345039713e-07,3.232766063738269e-06,20
sub-19,ses-02,Speech,5.81598976327674e-07,2.9046313856741513e-06,20
sub-21,ses-01,Control,-8.642663020336135e-09,1.493350017362722e-06,20
sub-21,ses-01,Noise,-1.7455000245344367e-07,1.899099032261562e-06,20
sub-21,ses-01,Speech,5.920356545716739e-07,2.3301602408783477e-06,20
sub-21,ses-02,Control,-1.0118635976176638e-07,1.945126862217724e-06,20
sub-21,ses-02,Noise,-4.387594745790489e-07,2.004918233974997e-06,20
sub-21,ses-02,Speech,1.2681735357657604e-07,2.22791667892626e-06,20
sub-24,ses-01,Control,-2.9994553344288587e-07,3.7456060669132548e-06,20
