Subject,Session,ROI,Mean_Control,Mean_Noise,Mean_Speech
04,02,Visual,0.6901943364746207,3.323609500741174,1.4626581091036253
04,02,Front,-1.0403342241961866,1.276529423784288,0.5191184080729413
05,01,Noise_WAA,-0.3785206736152801,-0.6148968897402197,2.720011633494481
05,01,Speech_WAA,0.2468278022452092,-1.6517279198314812,3.1234395979844742
05,01,Left_Auditory,0.6545557833852425,-2.1760082939583394,2.3607625699061754
05,01,Right_Auditory,-0.29666502546520135,-0.8371003586892244,2.228087679407052
05,01,Visual,1.745342534847549,-2.0388078962864484,1.9250718595748988
05,01,Front,-0.47332211714368533,-0.6088252179183293,3.5871941906034044
05,02,Noise_WAA,-2.459295381112553,3.2185286009204725,-1.2530921592669932
05,02,Speech_WAA,-1.439519880325793,3.192593847725274,-2.8509132301603293
05,02,Left_Auditory,-3.8200174468879773,5.418066718983012,-3.577668348699047
05,02,Right_Auditory,-2.2075135564892614,3.4595568200973923,-1.6354855766436562
05,02,Visual,-0.45588497782296616,2.085750192020515,-2.1778000518274503
05,02,Front,-2.456438673876604,4.530674361391017,-3.0284178234510617
07,01,Noise_WAA,0.8103848365403168,2.4232475158758415,1.3674573749187262
07,01,Speech_WAA,1.0844729325210396,1.879886051556921,1.580105225505026
07,01,Left_Auditory,0.3440071841332534,0.9968011991826028,-0.16033652422711173
07,01,Right_Auditory,0.9039860700307145,1.8898749396021841,0.925316493971595
07,01,Visual,0.8867122206695466,0.24567317492402388,0.7435533638600874
07,01,Front,-0.39250674858022183,-0.3471064886283224,-1.2872749098556282
07,02,Noise_WAA,0.20571783377425282,-0.313839025922099,-2.4873847914474108
07,02,Speech_WAA,-0.009305463797492131,-0.5768993358917368,-3.5472766837760625
07,02,Left_Auditory,-0.3838980339744699,-1.5369460697008475,-2.8097433886034913
07,02,Right_Auditory,0.4162955739815337,0.27799641883513254,-2.525602115087753
07,02,Visual,-0.29469904883160325,-1.3806655878696932,-2.820867276049645
07,02,Front,0.13599998005185723,-0.9264777295115207,-2.133237731957169
08,01,Noise_WAA,0.022742089018565635,0.11005787756259262,-0.7121928250786512
08,01,Speech_WAA,0.44634585701564894,1.0512646846951916,0.049594318523938766
08,01,Left_Auditory,0.5680547193752968,0.8923902767298925,0.09457247595519301
08,01,Right_Auditory,0.22129932942636946,0.9281223173382225,-1.1042387036033687
08,01,Visual,0.509915545949882,1.4863805052471615,1.153482943830675
08,01,Front,0.4419927501477894,1.384756719249508,0.4539607822050732
08,02,Noise_WAA,-1.0611864542086455,0.734338984346466,-0.39951127838820233
08,02,Speech_WAA,-0.5822156786022212,0.75018717349592,-0.40683297370298976
08,02,Left_Auditory,-0.22242614550267045,-0.12844414781811697,0.7092797076542776
08,02,Right_Auditory,-1.1831862760323193,0.9650983407139779,-0.9022692792653719
08,02,Visual,-0.11683716538442498,0.7388445513101015,-0.18009624557478046
08,02,Front,-0.924962785406426,0.5908673513986092,0.47870316663304885
10,01,Noise_WAA,4.430421817870676,5.253380734008765,4.416002628245563
10,01,Speech_WAA,4.327610417027352,3.691436656875547,3.9589222358374987
