Subject,Session,ROI,# Bad Channels,Total Channels,BadChannelProportion,Activation (0/1)
16,01,Visual,0,8,0.0,0
16,02,All_ROIs,2,25,0.08,1
16,02,Front,0,5,0.0,1
16,02,Left_Auditory,1,6,0.167,1
16,02,Noise_GLM,0,2,0.0,1
16,02,Noise_WAA,0,7,0.0,1
16,02,Right_Auditory,0,6,0.0,1
16,02,Speech_GLM,0,6,0.0,1
16,02,Speech_WAA,0,7,0.0,1
16,02,Visual,1,8,0.125,1
17,01,All_ROIs,1,25,0.04,1
17,01,Front,0,5,0.0,1
17,01,Left_Auditory,0,6,0.0,1
17,01,Noise_GLM,0,2,0.0,1
17,01,Noise_WAA,0,7,0.0,1
17,01,Right_Auditory,0,6,0.0,1
17,01,Speech_GLM,0,6,0.0,1
17,01,Speech_WAA,0,7,0.0,1
17,01,Visual,1,8,0.125,1
17,02,All_ROIs,3,25,0.12,1
17,02,Front,0,5,0.0,0
17,02,Left_Auditory,0,6,0.0,1
17,02,Noise_GLM,0,2,0.0,1
17,02,Noise_WAA,0,7,0.0,1
17,02,Right_Auditory,0,6,0.0,1
17,02,Speech_GLM,1,6,0.167,1
17,02,Speech_WAA,0,7,0.0,1
17,02,Visual,3,8,0.375,1
19,01,All_ROIs,1,25,0.04,1
19,01,Front,0,5,0.0,0
19,01,Left_Auditory,0,6,0.0,1
19,01,Noise_GLM,0,2,0.0,1
19,01,Noise_WAA,0,7,0.0,1
19,01,Right_Auditory,0,6,0.0,1
19,01,Speech_GLM,0,6,0.0,1
19,01,Speech_WAA,0,7,0.0,1
19,01,Visual,1,8,0.125,0
19,02,All_ROIs,1,25,0.04,1
19,02,Front,0,5,0.0,0
19,02,Left_Auditory,0,6,0.0,1
19,02,Noise_GLM,0,2,0.0,1
19,02,Noise_WAA,0,7,0.0,1
19,02,Right_Auditory,0,6,0.0,1
19,02,Speech_GLM,0,6,0.0,1
19,02,Speech_WAA,0,7,0.0,1
19,02,Visual,1,8,0.125,0
21,01,All_ROIs,1,25,0.04,0
21,01,Front,0,5,0.0,0
21,01,Left_Auditory,0,6,0.0,1
21,01,Noise_GLM,0,2,0.0,0
21,01,Noise_WAA,0,7,0.0,0
21,01,Right_Auditory,0,6,0.0,0
21,01,Speech_GLM,0,6,0.0,0
21,01,Speech_WAA,0,7,0.0,0
21,01,Visual,1,8,0.125,0
21,02,All_ROIs,3,25,0.12,1
21,02,Front,0,5,0.0,1
21,02,Left_Auditory,0,6,0.0,1
21,02,Noise_GLM,0,2,0.0,1
21,02,Noise_WAA,1,7,0.143,1
21,02,Right_Auditory,1,6,0.167,0
21,02,Speech_GLM,0,6,0.0,1
21,02,Speech_WAA,1,7,0.143,0
21,02,Visual,2,8,0.25,0
24,01,All_ROIs,6,25,0.24,1
24,01,Front,0,5,0.0,0
24,01,Left_Auditory,2,6,0.333,0
24,01,Noise_GLM,0,2,0.0,1
24,01,Noise_WAA,0,7,0.0,1
24,01,Right_Auditory,0,6,0.0,1
24,01,Speech_GLM,2,6,0.333,1
24,01,Speech_WAA,0,7,0.0,1
24,01,Visual,4,8,0.5,1
24,02,All_ROIs,5,25,0.2,1
24,02,Front,0,5,0.0,1
24,02,Left_Auditory,0,6,0.0,1
24,02,Noise_GLM,0,2,0.0,1
24,02,Noise_WAA,0,7,0.0,1
24,02,Right_Auditory,0,6,0.0,1
24,02,Speech_GLM,1,6,0.167,1
24,02,Speech_WAA,0,7,0.0,1
24,02,Visual,5,8,0.625,1
