ID,Subject,Session,Optode,Chroma,Condition,Value
2,01,02,S4_D3,hbo,Control,0.7447115104156691
2,01,02,S5_D2,hbo,Control,1.1624623389102624
2,01,02,S5_D3,hbo,Control,1.2489631268789487
2,01,02,S5_D4,hbo,Control,0.7821643928774963
2,01,02,S5_D5,hbo,Control,0.6741677225186621
2,01,02,S10_D9,hbo,Control,1.1990935172422097
2,01,02,S10_D10,hbo,Control,1.6571576610305359
2,01,02,S10_D11,hbo,Control,1.3559604833152556
2,01,02,S10_D12,hbo,Control,0.0993595292561125
2,01,02,S11_D11,hbo,Control,0.1335786897998742
2,01,02,S11_D12,hbo,Control,0.3592100928447484
2,01,02,S6_D6,hbo,Control,0.3603061854802011
2,01,02,S6_D8,hbo,Control,0.3064375219008421
2,01,02,S7_D7,hbo,Control,1.789174456582638
2,01,02,S8_D8,hbo,Control,3.808072468126057
2,01,02,S1_D1,hbo,Control,0.792962606457498
2,01,02,S2_D1,hbo,Control,1.3976984510348294
2,01,02,S3_D1,hbo,Control,0.354847061219374
2,01,02,S3_D2,hbo,Control,0.17565766202385535
2,01,02,S12_D1,hbo,Control,0.6687072887353973
2,01,02,S4_D2,hbo,Noise,0.13345061892373747
2,01,02,S4_D3,hbo,Noise,0.05952170938902874
2,01,02,S5_D2,hbo,Noise,1.8862369086998276
2,01,02,S5_D3,hbo,Noise,2.2232880436764635
2,01,02,S5_D4,hbo,Noise,2.3898200678149952
2,01,02,S5_D5,hbo,Noise,1.485209451731616
2,01,02,S10_D9,hbo,Noise,2.272864770698677
2,01,02,S10_D10,hbo,Noise,2.8264353378752562
2,01,02,S10_D11,hbo,Noise,1.8198881125425266
2,01,02,S10_D12,hbo,Noise,2.4388966359870383
2,01,02,S11_D11,hbo,Noise,0.9953805427817953
2,01,02,S11_D12,hbo,Noise,0.3484174547641165
2,01,02,S6_D6,hbo,Noise,-0.3211796391485086
2,01,02,S6_D8,hbo,Noise,0.008330487757706458
2,01,02,S7_D7,hbo,Noise,3.300268233553748
2,01,02,S8_D8,hbo,Noise,1.5078075669289912
2,01,02,S1_D1,hbo,Noise,1.674456515989442
2,01,02,S2_D1,hbo,Noise,1.0703527179326873
2,01,02,S3_D1,hbo,Noise,0.17533946085116806
2,01,02,S3_D2,hbo,Noise,0.6432048116492525
2,01,02,S12_D1,hbo,Noise,2.3980419547301395
2,01,02,S4_D2,hbo,Speech,-0.46210832173081146
2,01,02,S4_D3,hbo,Speech,-0.14568723021195773
2,01,02,S5_D2,hbo,Speech,0.35868462706287857
2,01,02,S5_D3,hbo,Speech,0.9064938372878296
2,01,02,S5_D4,hbo,Speech,2.1975225848954336
2,01,02,S5_D5,hbo,Speech,0.6056102664476748
2,01,02,S10_D9,hbo,Speech,1.717240987614621
2,01,02,S10_D10,hbo,Speech,4.56307993492234
2,01,02,S10_D11,hbo,Speech,3.744250179993244
2,01,02,S10_D12,hbo,Speech,5.188661186666131
2,01,02,S11_D11,hbo,Speech,1.4156330683681835
2,01,02,S11_D12,hbo,Speech,0.893183475602403
2,01,02,S6_D6,hbo,Speech,-0.2365404656391202
2,01,02,S6_D8,hbo,Speech,0.01041607805448166
2,01,02,S7_D7,hbo,Speech,4.220204856193956
2,01,02,S8_D8,hbo,Speech,1.2625662854374844
2,01,02,S1_D1,hbo,Speech,0.6035719116731065
2,01,02,S2_D1,hbo,Speech,1.4255257001334585
2,01,02,S3_D1,hbo,Speech,-0.055061940194537855
2,01,02,S3_D2,hbo,Speech,0.1456504622532818
2,01,02,S12_D1,hbo,Speech,2.400898665908992
3,02,01,S4_D2,hbo,Control,-0.09904431103785859
3,02,01,S4_D3,hbo,Control,0.9560087521554376
3,02,01,S5_D2,hbo,Control,1.0352616708006108
3,02,01,S5_D3,hbo,Control,0.10017358349780367
3,02,01,S5_D4,hbo,Control,1.1577795887631726
3,02,01,S5_D5,hbo,Control,0.8712928775002274
3,02,01,S10_D9,hbo,Control,1.585929887600703
3,02,01,S10_D10,hbo,Control,-0.4371545802687807
3,02,01,S10_D11,hbo,Control,0.22908179014203228
3,02,01,S10_D12,hbo,Control,-0.03600246883748204
3,02,01,S11_D11,hbo,Control,0.9019255726270757
3,02,01,S11_D12,hbo,Control,0.06314608190083632
3,02,01,S6_D6,hbo,Control,-0.5293127099536965
3,02,01,S6_D8,hbo,Control,0.04409558513807274
3,02,01,S7_D7,hbo,Control,0.2122545630433154
3,02,01,S8_D7,hbo,Control,-0.5029201798077896
3,02,01,S8_D8,hbo,Control,-0.5944000694427979
3,02,01,S9_D8,hbo,Control,0.5691247257705995
3,02,01,S7_D8,hbo,Control,0.2019144804232832
3,02,01,S1_D1,hbo,Control,-0.4441973077365772
3,02,01,S2_D1,hbo,Control,-0.40392359985529375
3,02,01,S3_D1,hbo,Control,-0.7948250003998617
3,02,01,S3_D2,hbo,Control,0.2894411993252076
3,02,01,S12_D1,hbo,Control,-0.5957127102783601
3,02,01,S4_D2,hbo,Noise,-1.0971028919887258
3,02,01,S4_D3,hbo,Noise,0.02865090732430471
3,02,01,S5_D2,hbo,Noise,-1.068624633926553
3,02,01,S5_D3,hbo,Noise,0.045287167201246786
3,02,01,S5_D4,hbo,Noise,-0.43716717960545065
3,02,01,S5_D5,hbo,Noise,-1.1633131885707149
3,02,01,S10_D9,hbo,Noise,-1.4669808083747198
3,02,01,S10_D10,hbo,Noise,-0.3088681910389764
3,02,01,S10_D11,hbo,Noise,-1.2249815645723656
3,02,01,S10_D12,hbo,Noise,-1.0577510388423639
3,02,01,S11_D11,hbo,Noise,-0.08171755417267389
3,02,01,S11_D12,hbo,Noise,0.016858044402304657
3,02,01,S6_D6,hbo,Noise,0.2907376957610559
3,02,01,S6_D8,hbo,Noise,0.3335876781266634
3,02,01,S7_D7,hbo,Noise,-1.18514257097214
3,02,01,S8_D7,hbo,Noise,-0.5852686095675619
3,02,01,S8_D8,hbo,Noise,-0.5747584377376824
3,02,01,S9_D8,hbo,Noise,-1.3836542127371991
3,02,01,S7_D8,hbo,Noise,-1.0939700118035343
3,02,01,S1_D1,hbo,Noise,-0.6831925875703027
3,02,01,S2_D1,hbo,Noise,-0.6089066044922846
3,02,01,S3_D1,hbo,Noise,-0.13700409209370756
3,02,01,S3_D2,hbo,Noise,-0.4396782287264175
3,02,01,S12_D1,hbo,Noise,-0.5944534447747094
3,02,01,S4_D2,hbo,Speech,0.07802380177140439
3,02,01,S4_D3,hbo,Speech,0.3833492570800307
